id,expected_relative_path,create_date,sys_file_soft_deleted,delete_ts_date,ext,file_size,file_name_md5,file_name_length,reference_count,active_reference_count,soft_deleted_reference_count,reference_columns_count,reference_columns,found_elsewhere_active_storage_count,found_in_archive_count,classification,recommended_action,blocks_stage_3
31e17f38-a889-a73a-1edc-40b5a5dcf734,2019/12/13/31e17f38-a889-a73a-1edc-40b5a5dcf734.pdf,2019-12-13,f,,pdf,3953940,8265bbc0fe79c14a9ede5e89387d7479,108,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
37227ea7-bc71-22ca-f509-98a210810b77,2019/12/13/37227ea7-bc71-22ca-f509-98a210810b77.pdf,2019-12-13,f,,pdf,9700564,d581d9bf2b9f75c36b22165d87af2469,96,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
94573b9b-ed57-e928-7259-e85f5c00bee1,2019/12/13/94573b9b-ed57-e928-7259-e85f5c00bee1.pdf,2019-12-13,f,,pdf,114569,eae7cffb030579df3d2267f50de3363d,30,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
76da219a-5ead-9713-ecbe-413e51f34526,2019/12/16/76da219a-5ead-9713-ecbe-413e51f34526.pdf,2019-12-16,f,,pdf,47003,ba4239035ac9a2f6ac998f243531560b,32,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
aaaf5394-db18-b608-4648-c1121240e3da,2019/12/16/aaaf5394-db18-b608-4648-c1121240e3da.rtf,2019-12-16,f,,rtf,209333,a75379cdab04d73e674db7ed5c82f169,29,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
af9981e3-1f2a-ef10-572f-f8f446a84b83,2019/12/16/af9981e3-1f2a-ef10-572f-f8f446a84b83.pdf,2019-12-16,f,,pdf,479655,c23c8f09f89b6f2821cb4bb13d392590,35,0,0,0,0,,0,0,C_ORPHAN_SYS_FILE_METADATA,candidate_for_metadata_review_no_auto_delete,yes
dfb8e636-4207-20be-920d-abb1038841d9,2019/12/16/dfb8e636-4207-20be-920d-abb1038841d9.pdf,2019-12-16,f,,pdf,39425,8dd79af5049a5b3cc9237b386a5c94b2,33,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
a5738aec-a90c-3d81-f281-cb90a536c6d0,2019/12/17/a5738aec-a90c-3d81-f281-cb90a536c6d0.pdf,2019-12-17,f,,pdf,42507,cf23e47655862fa95ae6a2e3398e8fbd,35,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
b5534d20-0ca4-fddd-ce16-958c82c7586a,2019/12/17/b5534d20-0ca4-fddd-ce16-958c82c7586a.pdf,2019-12-17,f,,pdf,42507,cf23e47655862fa95ae6a2e3398e8fbd,35,1,1,0,1,public.hunttech_candidate_cv.file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
ce8202ce-682b-754c-c963-9d55fa648a23,2019/12/17/ce8202ce-682b-754c-c963-9d55fa648a23.docx,2019-12-17,f,,docx,26966,96bc30d585df6aacc0441b56fa3b983c,21,0,0,0,0,,0,0,C_ORPHAN_SYS_FILE_METADATA,candidate_for_metadata_review_no_auto_delete,yes
3bae1f33-e620-2127-bba2-332b43daf26b,2019/12/18/3bae1f33-e620-2127-bba2-332b43daf26b.doc,2019-12-18,f,,doc,66243,fc10c97be18c6ea169169a902e4e4939,30,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
60238939-2925-9c6c-d01e-d2eba4fa1f0c,2019/12/18/60238939-2925-9c6c-d01e-d2eba4fa1f0c.pdf,2019-12-18,f,,pdf,70374,2611164c46c2aedd141c7729ed10b4a3,45,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
734b4de4-ab29-408c-432a-ec15656d8160,2019/12/18/734b4de4-ab29-408c-432a-ec15656d8160.pdf,2019-12-18,f,,pdf,401844,265177b50c8eff41a41cd18f9a12928e,25,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
7d11e10e-77b4-92ef-6f87-84a1fa5e06e4,2019/12/18/7d11e10e-77b4-92ef-6f87-84a1fa5e06e4.pdf,2019-12-18,f,,pdf,333958,88f2122249b06f1b7337ef1ceab23860,52,0,0,0,0,,0,0,C_ORPHAN_SYS_FILE_METADATA,candidate_for_metadata_review_no_auto_delete,yes
b2108f33-b38b-4803-237b-5b33bfa4c264,2019/12/18/b2108f33-b38b-4803-237b-5b33bfa4c264.docx,2019-12-18,f,,docx,26966,95b9c6b9368dcacdc126dc8b8d321688,49,1,1,0,1,public.hunttech_candidate_cv.original_file_cv_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
